seqid	assembly	chromosome	start	end	strand	geneID	hsfamily	lsfamily
Os03t0438000-01	IRGSP-1.0	3	18482821	18483620	1	Os03g0438000	0	0
Os03t0438100-01	IRGSP-1.0	3	18485682	18486983	-1	Os03g0438100	0	0
Os03t0438200-01	IRGSP-1.0	3	18487715	18488371	-1	Os03g0438200	0	0
Os03t0438400-01	IRGSP-1.0	3	18495806	18500989	1	Os03g0438400	0	0
Os03t0438900-01	IRGSP-1.0	3	18530548	18531460	1	Os03g0438900	0	0
Os03t0439000-01	IRGSP-1.0	3	18538968	18539959	1	Os03g0439000	491	3967
Os03t0439250-00	IRGSP-1.0	3	18550126	18550710	-1	Os03g0439250	1032	92
Os03t0439650-00	IRGSP-1.0	3	18570881	18571946	-1	Os03g0439650	0	0
Os03t0439500-04	IRGSP-1.0	3	18571446	18572505	1	Os03g0439500	1233	16
Os03t0439700-01	IRGSP-1.0	3	18575450	18577554	-1	Os03g0439700	0	3968
Os03t0439800-01	IRGSP-1.0	3	18579735	18598590	1	Os03g0439800	1413	617
Os03t0439900-01	IRGSP-1.0	3	18583128	18584921	1	Os03g0439900	0	0
Os03t0440200-00	IRGSP-1.0	3	18603057	18608859	-1	Os03g0440200	1757	200
Os03t0440900-02	IRGSP-1.0	3	18635966	18638510	1	Os03g0440900	46	2
Os03t0441000-01	IRGSP-1.0	3	18638520	18647607	-1	Os03g0441000	0	3687
Os03t0441050-00	IRGSP-1.0	3	18638648	18639573	1	Os03g0441050	0	0
Os03t0441101-00	IRGSP-1.0	3	18648052	18648490	1	Os03g0441101	344	484
Os03t0441400-01	IRGSP-1.0	3	18678369	18682844	-1	Os03g0441400	8	3
Os03t0441500-02	IRGSP-1.0	3	18686905	18688616	-1	Os03g0441500	1338	770
Os03t0441601-01	IRGSP-1.0	3	18692209	18693697	-1	Os03g0441601	1599	1768
Os03t0441700-00	IRGSP-1.0	3	18694131	18695033	1	Os03g0441700	80	157
Os03t0442800-01	IRGSP-1.0	3	18768610	18770180	-1	Os03g0442800	0	0
Os03t0442900-01	IRGSP-1.0	3	18769032	18770455	1	Os03g0442900	527	563
Os03t0444900-00	IRGSP-1.0	3	18889278	18890595	1	Os03g0444900	6	19
Os03t0445700-01	IRGSP-1.0	3	18935194	18936295	-1	Os03g0445700	715	924
Os03t0446200-00	IRGSP-1.0	3	18985456	18991050	1	Os03g0446200	1009	36
Os03t0448200-00	IRGSP-1.0	3	19147007	19148677	1	Os03g0448200	2649	1321
Os03t0448500-02	IRGSP-1.0	3	19175153	19180642	1	Os03g0448500	166	341
Os03t0448600-01	IRGSP-1.0	3	19184047	19191279	-1	Os03g0448600	4548	927
Os03t0448700-01	IRGSP-1.0	3	19197638	19204054	-1	Os03g0448700	4549	1232
Os03t0448950-01	IRGSP-1.0	3	19243920	19248524	-1	Os03g0448950	0	0
Os03t0449200-00	IRGSP-1.0	3	19244015	19248324	1	Os03g0449200	113	150
Os03t0452300-01	IRGSP-1.0	3	19413119	19417098	-1	Os03g0452300	0	1744
Os03t0453301-01	IRGSP-1.0	3	19423584	19428439	-1	Os03g0453301	0	0
Os03t0453800-01	IRGSP-1.0	3	19511706	19515403	1	Os03g0453800	0	0
Os03t0454100-01	IRGSP-1.0	3	19518897	19525900	-1	Os03g0454100	4223	3762
Os03t0454300-01	IRGSP-1.0	3	19528081	19531668	1	Os03g0454300	0	62
Os03t0554900-00	IRGSP-1.0	3	19585967	19588337	-1	Os03g0554900	0	0
Os03t0554950-00	IRGSP-1.0	3	19596232	19599523	-1	Os03g0554950	0	11
Os03t0556200-01	IRGSP-1.0	3	19715826	19717599	-1	Os03g0556200	2650	2662
Os03t0556500-01	IRGSP-1.0	3	19726675	19728277	-1	Os03g0556500	1758	709
Os03t0556600-01	IRGSP-1.0	3	19726886	19731136	1	Os03g0556600	3	1
Os03t0557900-00	IRGSP-1.0	3	19742753	19746906	1	Os03g0557900	1025	349
Os03t0558400-01	IRGSP-1.0	3	19903997	19908557	-1	Os03g0558400	0	0
Os03t0558600-01	IRGSP-1.0	3	19904294	19905198	1	Os03g0558600	364	531
Os03t0558700-01	IRGSP-1.0	3	19925378	19926319	-1	Os03g0558700	0	3969
Os03t0559700-00	IRGSP-1.0	3	20018827	20019659	-1	Os03g0559700	0	3969
Os03t0559900-01	IRGSP-1.0	3	20030282	20033711	-1	Os03g0559900	2651	1635
Os03t0560050-00	IRGSP-1.0	3	20051758	20062367	-1	Os03g0560050	0	0
Os03t0560200-01	IRGSP-1.0	3	20057603	20058345	-1	Os03g0560200	32	51
Os03t0561283-01	IRGSP-1.0	3	20111568	20115720	-1	Os03g0561283	1025	349
Os03t0561400-01	IRGSP-1.0	3	20124488	20127262	-1	Os03g0561400	0	836
Os03t0562000-01	IRGSP-1.0	3	20181736	20187927	-1	Os03g0562000	1234	832
Os03t0562200-02	IRGSP-1.0	3	20188178	20194964	-1	Os03g0562200	0	100
Os03t0562400-01	IRGSP-1.0	3	20209967	20211819	-1	Os03g0562400	0	0
Os03t0563100-01	IRGSP-1.0	3	20240367	20243969	1	Os03g0563100	312	545
Os03t0563200-01	IRGSP-1.0	3	20244628	20245176	1	Os03g0563200	0	0
Os03t0563300-01	IRGSP-1.0	3	20248326	20250000	-1	Os03g0563300	0	3970
Os03t0563400-00	IRGSP-1.0	3	20257176	20259092	1	Os03g0563400	198	50
Os03t0563600-01	IRGSP-1.0	3	20264124	20269616	1	Os03g0563600	138	11
Os03t0564200-01	IRGSP-1.0	3	20313408	20318292	1	Os03g0564200	0	0
Os03t0564600-01	IRGSP-1.0	3	20324825	20325721	-1	Os03g0564600	0	1249
Os03t0564800-00	IRGSP-1.0	3	20343954	20344421	-1	Os03g0564800	0	642
Os03t0565100-01	IRGSP-1.0	3	20363579	20370035	-1	Os03g0565100	0	528
Os03t0565200-01	IRGSP-1.0	3	20379625	20387042	1	Os03g0565200	0	1419
Os03t0565300-01	IRGSP-1.0	3	20391546	20396525	1	Os03g0565300	2652	1904
Os03t0565500-01	IRGSP-1.0	3	20403051	20417506	1	Os03g0565500	4550	2884
Os03t0565600-01	IRGSP-1.0	3	20420795	20426307	-1	Os03g0565600	670	722
Os03t0565825-00	IRGSP-1.0	3	20436527	20437847	1	Os03g0565825	0	0
Os03t0565900-01	IRGSP-1.0	3	20444173	20447271	-1	Os03g0565900	2652	1904
Os03t0566500-01	IRGSP-1.0	3	20476624	20480558	-1	Os03g0566500	809	981
Os03t0566600-01	IRGSP-1.0	3	20484942	20487487	1	Os03g0566600	0	0
Os03t0566700-01	IRGSP-1.0	3	20485905	20488547	-1	Os03g0566700	1074	18
Os03t0566800-01	IRGSP-1.0	3	20492421	20496890	-1	Os03g0566800	1055	39
Os03t0567100-01	IRGSP-1.0	3	20501326	20501926	-1	Os03g0567100	4551	3971
Os03t0567600-03	IRGSP-1.0	3	20515441	20517401	-1	Os03g0567600	3922	105
Os03t0568000-00	IRGSP-1.0	3	20515592	20518411	1	Os03g0568000	0	1128
Os03t0568400-00	IRGSP-1.0	3	20550499	20557987	1	Os03g0568400	1960	6
Os03t0568500-01	IRGSP-1.0	3	20558776	20561694	-1	Os03g0568500	0	2664
Os03t0568550-00	IRGSP-1.0	3	20563284	20564968	-1	Os03g0568550	0	0
Os03t0568600-01	IRGSP-1.0	3	20563322	20565064	1	Os03g0568600	0	2160
Os03t0568800-02	IRGSP-1.0	3	20569386	20572604	1	Os03g0568800	45	1
Os03t0568850-00	IRGSP-1.0	3	20569603	20572016	-1	Os03g0568850	1759	78
Os03t0568900-01	IRGSP-1.0	3	20574259	20579351	-1	Os03g0568900	902	291
Os03t0569000-01	IRGSP-1.0	3	20584426	20586557	-1	Os03g0569000	0	598
Os03t0569800-02	IRGSP-1.0	3	20650318	20653294	1	Os03g0569800	3560	12
Os03t0569900-01	IRGSP-1.0	3	20655023	20661172	-1	Os03g0569900	257	232
Os03t0570000-00	IRGSP-1.0	3	20660143	20661065	1	Os03g0570000	0	0
Os03t0570100-01	IRGSP-1.0	3	20666069	20670823	-1	Os03g0570100	1760	6
Os03t0570200-00	IRGSP-1.0	3	20676986	20685924	-1	Os03g0570200	3933	3581
Os03t0570300-01	IRGSP-1.0	3	20690718	20692541	-1	Os03g0570300	0	3885
Os03t0570775-01	IRGSP-1.0	3	20724891	20728885	1	Os03g0570775	4552	2279
Os03t0570800-01	IRGSP-1.0	3	20725388	20747318	-1	Os03g0570800	903	48
Os03t0571700-01	IRGSP-1.0	3	20772675	20782658	-1	Os03g0571700	903	48
Os03t0571800-00	IRGSP-1.0	3	20778588	20779157	1	Os03g0571800	1761	1423
Os03t0571900-01	IRGSP-1.0	3	20793274	20799805	-1	Os03g0571900	903	48
Os03t0572050-00	IRGSP-1.0	3	20795609	20799585	1	Os03g0572050	0	0
Os03t0572250-01	IRGSP-1.0	3	20837973	20839908	-1	Os03g0572250	1762	1224
Os03t0572300-01	IRGSP-1.0	3	20842247	20846882	-1	Os03g0572300	4362	3842
Os03t0572900-01	IRGSP-1.0	3	20868361	20875711	-1	Os03g0572900	903	48
Os03t0572925-00	IRGSP-1.0	3	20869445	20875638	1	Os03g0572925	4553	3972
Os03t0573001-00	IRGSP-1.0	3	20886344	20888055	1	Os03g0573001	3932	3579
Os03t0573117-00	IRGSP-1.0	3	20894664	20895231	1	Os03g0573117	4554	3973
Os03t0573500-00	IRGSP-1.0	3	20913602	20917410	-1	Os03g0573500	0	18
Os03t0573600-01	IRGSP-1.0	3	20914305	20917765	1	Os03g0573600	0	0
Os03t0573750-01	IRGSP-1.0	3	20923579	20925443	1	Os03g0573750	2336	3502
Os03t0574300-01	IRGSP-1.0	3	20945028	20948502	-1	Os03g0574300	0	0
Os03t0574600-02	IRGSP-1.0	3	20961329	20962088	-1	Os03g0574600	2498	2536
Os03t0574900-01	IRGSP-1.0	3	20978620	20985759	-1	Os03g0574900	395	110
Os03t0575200-01	IRGSP-1.0	3	21002797	21007629	-1	Os03g0575200	395	110
Os03t0575500-02	IRGSP-1.0	3	21030465	21031298	1	Os03g0575500	3211	3046
Os03t0575700-01	IRGSP-1.0	3	21037379	21038297	-1	Os03g0575700	0	3393
Os03t0575950-00	IRGSP-1.0	3	21053709	21055527	-1	Os03g0575950	1900	179
Os03t0576200-00	IRGSP-1.0	3	21060638	21064968	-1	Os03g0576200	395	110
Os03t0576400-00	IRGSP-1.0	3	21078683	21079538	1	Os03g0576400	0	0
Os03t0576500-01	IRGSP-1.0	3	21081361	21081960	1	Os03g0576500	0	0
Os03t0576600-01	IRGSP-1.0	3	21082861	21084621	-1	Os03g0576600	2653	1413
Os03t0576700-01	IRGSP-1.0	3	21086470	21088562	-1	Os03g0576700	2654	2665
Os03t0576900-04	IRGSP-1.0	3	21094906	21096849	1	Os03g0576900	1192	875
Os03t0577000-01	IRGSP-1.0	3	21097594	21100006	-1	Os03g0577000	4555	3974
Os03t0577100-01	IRGSP-1.0	3	21102150	21106012	-1	Os03g0577100	4556	1750
Os03t0577150-00	IRGSP-1.0	3	21108805	21112091	-1	Os03g0577150	0	3954
Os03t0577200-01	IRGSP-1.0	3	21108808	21112282	1	Os03g0577200	1751	1899
Os03t0577300-00	IRGSP-1.0	3	21112715	21113193	-1	Os03g0577300	0	2666
Os03t0577350-00	IRGSP-1.0	3	21115784	21116371	-1	Os03g0577350	0	0
Os03t0577500-01	IRGSP-1.0	3	21117921	21123379	-1	Os03g0577500	824	316
Os03t0577800-01	IRGSP-1.0	3	21143418	21147334	1	Os03g0577800	0	0
Os03t0578200-01	IRGSP-1.0	3	21165043	21170759	-1	Os03g0578200	0	0
Os03t0578300-01	IRGSP-1.0	3	21179901	21184440	1	Os03g0578300	0	0
Os03t0578500-01	IRGSP-1.0	3	21198249	21199192	1	Os03g0578500	1235	132
Os03t0578900-00	IRGSP-1.0	3	21212377	21214189	1	Os03g0578900	4	13
Os03t0579000-01	IRGSP-1.0	3	21224305	21225936	-1	Os03g0579000	1468	1293
Os03t0579200-00	IRGSP-1.0	3	21229366	21237842	1	Os03g0579200	3890	18
Os03t0579300-00	IRGSP-1.0	3	21238864	21240807	-1	Os03g0579300	2619	2639
Os03t0579550-00	IRGSP-1.0	3	21239316	21240824	1	Os03g0579550	0	0
Os03t0579900-01	IRGSP-1.0	3	21271431	21272411	1	Os03g0579900	3890	296
Os03t0580200-01	IRGSP-1.0	3	21275422	21276198	-1	Os03g0580200	2059	33
Os03t0580800-01	IRGSP-1.0	3	21306705	21313520	-1	Os03g0580800	2059	33
Os03t0581100-01	IRGSP-1.0	3	21334814	21337846	1	Os03g0581100	0	96
Os03t0581200-02	IRGSP-1.0	3	21338369	21340262	-1	Os03g0581200	0	0
Os03t0581400-00	IRGSP-1.0	3	21353518	21356813	1	Os03g0581400	2059	33
Os03t0581600-01	IRGSP-1.0	3	21363967	21368868	1	Os03g0581600	528	600
Os03t0581650-00	IRGSP-1.0	3	21371185	21375263	1	Os03g0581650	0	70
Os03t0581800-01	IRGSP-1.0	3	21378149	21382083	1	Os03g0581800	0	0
Os03t0582000-02	IRGSP-1.0	3	21393006	21394893	1	Os03g0582000	0	3975
Os03t0582100-01	IRGSP-1.0	3	21409003	21411259	-1	Os03g0582100	197	3
Os03t0582200-01	IRGSP-1.0	3	21416192	21420237	-1	Os03g0582200	482	723
Os03t0582300-01	IRGSP-1.0	3	21420814	21421069	-1	Os03g0582300	482	723
Os03t0582400-01	IRGSP-1.0	3	21428521	21429270	-1	Os03g0582400	2257	32
Os03t0582550-00	IRGSP-1.0	3	21428825	21429391	1	Os03g0582550	4554	3973
Os03t0582800-00	IRGSP-1.0	3	21453383	21454733	1	Os03g0582800	2175	2287
Os03t0582900-01	IRGSP-1.0	3	21457124	21457731	1	Os03g0582900	0	0
Os03t0583000-00	IRGSP-1.0	3	21458177	21461845	-1	Os03g0583000	0	0
Os03t0583700-00	IRGSP-1.0	3	21490216	21493292	1	Os03g0583700	1691	1464
Os03t0583800-01	IRGSP-1.0	3	21498173	21500536	1	Os03g0583800	4557	1299
Os03t0583900-01	IRGSP-1.0	3	21500980	21515569	-1	Os03g0583900	1763	235
Os03t0584050-00	IRGSP-1.0	3	21520109	21522077	-1	Os03g0584050	4558	3976
Os03t0584224-00	IRGSP-1.0	3	21539060	21539656	1	Os03g0584224	1063	1287
Os03t0584300-01	IRGSP-1.0	3	21541982	21544545	1	Os03g0584300	0	0
Os03t0584400-01	IRGSP-1.0	3	21544810	21546217	-1	Os03g0584400	358	84
Os03t0584500-00	IRGSP-1.0	3	21547160	21548436	1	Os03g0584500	0	0
Os03t0585600-00	IRGSP-1.0	3	21600334	21600700	1	Os03g0585600	0	0
Os03t0585900-00	IRGSP-1.0	3	21607446	21608537	1	Os03g0585900	4559	3977
Os03t0586099-00	IRGSP-1.0	3	21619168	21619958	1	Os03g0586099	4560	27
Os03t0586300-01	IRGSP-1.0	3	21622958	21628739	-1	Os03g0586300	0	242
Os03t0586400-01	IRGSP-1.0	3	21631071	21634055	-1	Os03g0586400	0	0
Os03t0586500-01	IRGSP-1.0	3	21634990	21637232	1	Os03g0586500	0	1424
Os03t0586600-01	IRGSP-1.0	3	21637320	21641223	-1	Os03g0586600	2655	2667
Os03t0586700-01	IRGSP-1.0	3	21647446	21659950	-1	Os03g0586700	0	0
Os03t0586800-02	IRGSP-1.0	3	21665280	21673555	-1	Os03g0586800	0	2916
Os03t0586900-01	IRGSP-1.0	3	21673719	21680339	1	Os03g0586900	873	200
Os03t0587000-01	IRGSP-1.0	3	21681989	21685007	1	Os03g0587000	4241	882
Os03t0587100-04	IRGSP-1.0	3	21685498	21687238	1	Os03g0587100	0	353
Os03t0587200-01	IRGSP-1.0	3	21687370	21693162	-1	Os03g0587200	1404	1145
Os03t0587250-01	IRGSP-1.0	3	21697700	21698880	-1	Os03g0587250	0	0
Os03t0587600-01	IRGSP-1.0	3	21701041	21703525	1	Os03g0587600	1764	1497
Os03t0588100-01	IRGSP-1.0	3	21728279	21731479	-1	Os03g0588100	2643	2630
Os03t0588200-01	IRGSP-1.0	3	21733006	21737915	1	Os03g0588200	1764	1497
Os03t0588400-00	IRGSP-1.0	3	21745957	21747104	1	Os03g0588400	3102	1
Os03t0588600-01	IRGSP-1.0	3	21748596	21751686	1	Os03g0588600	1764	1497
Os03t0588800-01	IRGSP-1.0	3	21756823	21763715	1	Os03g0588800	0	586
Os03t0589100-00	IRGSP-1.0	3	21782331	21783161	-1	Os03g0589100	4562	3978
Os03t0589300-01	IRGSP-1.0	3	21784848	21791170	-1	Os03g0589300	845	570
Os03t0589400-00	IRGSP-1.0	3	21792860	21793702	1	Os03g0589400	4562	3978
Os03t0589500-01	IRGSP-1.0	3	21816818	21818159	-1	Os03g0589500	0	157
Os03t0590700-01	IRGSP-1.0	3	21881938	21885330	1	Os03g0590700	0	0
Os03t0591000-03	IRGSP-1.0	3	21900447	21904063	1	Os03g0591000	0	0
Os03t0591300-01	IRGSP-1.0	3	21910439	21913786	1	Os03g0591300	2142	8
Os03t0592100-00	IRGSP-1.0	3	21947123	21949782	1	Os03g0592100	4564	3980
Os03t0591600-00	IRGSP-1.0	3	21950474	21952518	-1	Os03g0591600	0	2143
Os03t0591700-01	IRGSP-1.0	3	21954147	21957702	1	Os03g0591700	4563	3979
Os03t0591801-00	IRGSP-1.0	3	21960011	21963975	1	Os03g0591801	326	186
Os03t0592500-02	IRGSP-1.0	3	22000565	22001240	1	Os03g0592500	169	198
Os03t0592950-00	IRGSP-1.0	3	22009145	22009446	-1	Os03g0592950	1536	2343
Os03t0593200-01	IRGSP-1.0	3	22017024	22029484	-1	Os03g0593200	0	1861
Os03t0593100-01	IRGSP-1.0	3	22017075	22018018	1	Os03g0593100	0	2605
Os03t0593600-00	IRGSP-1.0	3	22048470	22050253	1	Os03g0593600	17	6
Os03t0593700-00	IRGSP-1.0	3	22054387	22057136	-1	Os03g0593700	2656	2668
Os03t0594100-01	IRGSP-1.0	3	22083215	22086165	1	Os03g0594100	17	6
Os03t0594250-00	IRGSP-1.0	3	22083544	22085792	-1	Os03g0594250	835	156
Os03t0594400-01	IRGSP-1.0	3	22092018	22095340	-1	Os03g0594400	43	89
Os03t0594500-00	IRGSP-1.0	3	22099628	22100277	1	Os03g0594500	710	3981
Os03t0594600-00	IRGSP-1.0	3	22100401	22100952	1	Os03g0594600	266	364
Os03t0594700-01	IRGSP-1.0	3	22110421	22116473	-1	Os03g0594700	0	1977
Os03t0594900-01	IRGSP-1.0	3	22123330	22125585	1	Os03g0594900	17	6
Os03t0595050-00	IRGSP-1.0	3	22123371	22125465	-1	Os03g0595050	835	156
Os03t0595200-00	IRGSP-1.0	3	22149230	22149920	1	Os03g0595200	0	3956
Os03t0595300-01	IRGSP-1.0	3	22150420	22151574	-1	Os03g0595300	0	0
Os03t0595600-00	IRGSP-1.0	3	22160411	22161462	-1	Os03g0595600	834	49
Os03t0595800-01	IRGSP-1.0	3	22164727	22169919	-1	Os03g0595800	0	662
Os03t0596101-01	IRGSP-1.0	3	22171726	22174047	-1	Os03g0596101	4565	172
Os03t0596200-01	IRGSP-1.0	3	22173113	22174947	1	Os03g0596200	0	670
Os03t0596400-01	IRGSP-1.0	3	22184257	22187943	-1	Os03g0596400	941	425
Os03t0596600-01	IRGSP-1.0	3	22204030	22207200	1	Os03g0596600	723	670
Os03t0596700-00	IRGSP-1.0	3	22213638	22214408	1	Os03g0596700	0	1068
Os03t0596800-01	IRGSP-1.0	3	22216238	22217762	-1	Os03g0596800	0	0
Os03t0596900-01	IRGSP-1.0	3	22219267	22227186	-1	Os03g0596900	0	0
Os03t0597200-01	IRGSP-1.0	3	22233268	22238894	-1	Os03g0597200	4566	12
Os03t0597400-01	IRGSP-1.0	3	22243187	22244608	-1	Os03g0597400	4567	1153
Os03t0597450-01	IRGSP-1.0	3	22251068	22253999	-1	Os03g0597450	4568	3982
Os03t0597600-01	IRGSP-1.0	3	22255220	22259151	-1	Os03g0597600	4569	1905
Os03t0597800-01	IRGSP-1.0	3	22262059	22266748	-1	Os03g0597800	0	0
Os03t0598002-00	IRGSP-1.0	3	22271544	22272752	1	Os03g0598002	0	0
Os03t0598100-01	IRGSP-1.0	3	22281686	22284615	1	Os03g0598100	511	510
Os03t0598150-00	IRGSP-1.0	3	22281700	22284411	-1	Os03g0598150	0	1420
Os03t0598200-01	IRGSP-1.0	3	22285710	22292616	-1	Os03g0598200	0	0
Os03t0598700-01	IRGSP-1.0	3	22332335	22335094	1	Os03g0598700	1880	4
Os03t0598800-02	IRGSP-1.0	3	22336686	22338318	-1	Os03g0598800	2657	2134
Os03t0598900-01	IRGSP-1.0	3	22341131	22345527	-1	Os03g0598900	0	0
Os03t0599000-01	IRGSP-1.0	3	22347751	22351524	-1	Os03g0599000	0	215
Os03t0599400-01	IRGSP-1.0	3	22369319	22371235	-1	Os03g0599400	0	576
Os03t0599500-01	IRGSP-1.0	3	22369431	22371227	1	Os03g0599500	0	2032
Os03t0599600-01	IRGSP-1.0	3	22372945	22380120	1	Os03g0599600	0	97
Os03t0599800-01	IRGSP-1.0	3	22381361	22383926	-1	Os03g0599800	4570	1906
Os03t0600400-01	IRGSP-1.0	3	22413613	22413988	-1	Os03g0600400	0	0
Os03t0600600-00	IRGSP-1.0	3	22424061	22425033	-1	Os03g0600600	103	22
Os03t0600800-00	IRGSP-1.0	3	22434429	22436110	-1	Os03g0600800	2658	1528
Os03t0601000-01	IRGSP-1.0	3	22443332	22445034	1	Os03g0601000	0	880
Os03t0601100-01	IRGSP-1.0	3	22451553	22453961	-1	Os03g0601100	2658	1528
Os03t0601500-01	IRGSP-1.0	3	22464518	22469960	1	Os03g0601500	904	1129
Os03t0602300-01	IRGSP-1.0	3	22538341	22542412	1	Os03g0602300	0	146
Os03t0602500-01	IRGSP-1.0	3	22544584	22547295	-1	Os03g0602500	0	3984
Os03t0602600-01	IRGSP-1.0	3	22547535	22552000	1	Os03g0602600	0	760
Os03t0603100-00	IRGSP-1.0	3	22568104	22568742	-1	Os03g0603100	521	6
Os03t0603200-00	IRGSP-1.0	3	22568192	22573996	1	Os03g0603200	4571	3985
Os03t0603300-01	IRGSP-1.0	3	22595988	22603461	-1	Os03g0603300	4572	2517
Os03t0603500-00	IRGSP-1.0	3	22612502	22614216	1	Os03g0603500	4573	3986
Os03t0603600-01	IRGSP-1.0	3	22616005	22619553	1	Os03g0603600	2160	1546
Os03t0603800-01	IRGSP-1.0	3	22628794	22630315	1	Os03g0603800	0	3037
Os03t0604432-01	IRGSP-1.0	3	22641490	22657252	1	Os03g0604432	0	0
Os03t0604200-01	IRGSP-1.0	3	22641492	22657252	-1	Os03g0604200	678	899
Os03t0604401-00	IRGSP-1.0	3	22649947	22650699	-1	Os03g0604401	14	2971
Os03t0604500-01	IRGSP-1.0	3	22659157	22664290	1	Os03g0604500	0	0
Os03t0604566-01	IRGSP-1.0	3	22667960	22669203	1	Os03g0604566	527	563
Os03t0604700-01	IRGSP-1.0	3	22671444	22674021	1	Os03g0604700	0	0
Os03t0604600-01	IRGSP-1.0	3	22672067	22675791	-1	Os03g0604600	0	0
Os03t0605300-01	IRGSP-1.0	3	22703015	22705531	1	Os03g0605300	148	23
Os03t0606200-01	IRGSP-1.0	3	22740588	22741268	1	Os03g0606200	0	0
Os03t0606100-01	IRGSP-1.0	3	22744360	22746914	-1	Os03g0606100	1213	901
Os03t0606333-00	IRGSP-1.0	3	22745389	22746775	1	Os03g0606333	0	1040
Os03t0606466-01	IRGSP-1.0	3	22757555	22759817	-1	Os03g0606466	0	0
Os03t0606600-00	IRGSP-1.0	3	22799861	22803963	-1	Os03g0606600	1077	453
Os03t0607100-00	IRGSP-1.0	3	22816016	22816492	-1	Os03g0607100	0	0
Os03t0607200-01	IRGSP-1.0	3	22816933	22817774	-1	Os03g0607200	529	561
Os03t0607400-01	IRGSP-1.0	3	22822747	22826585	-1	Os03g0607400	1077	453
Os03t0607500-01	IRGSP-1.0	3	22830703	22832836	1	Os03g0607500	4574	3987
Os03t0607600-00	IRGSP-1.0	3	22844926	22847390	1	Os03g0607600	569	201
Os03t0607700-01	IRGSP-1.0	3	22850942	22852108	-1	Os03g0607700	15	26
Os03t0607800-01	IRGSP-1.0	3	22856728	22861392	-1	Os03g0607800	0	0
Os03t0608000-01	IRGSP-1.0	3	22863494	22864070	-1	Os03g0608000	0	0
Os03t0608600-01	IRGSP-1.0	3	22892426	22895558	-1	Os03g0608600	0	0
Os03t0608700-02	IRGSP-1.0	3	22912599	22918503	-1	Os03g0608700	1534	122
Os03t0608800-01	IRGSP-1.0	3	22930319	22937157	1	Os03g0608800	0	196
Os03t0609000-01	IRGSP-1.0	3	22947541	22950581	1	Os03g0609000	0	46
Os03t0609200-00	IRGSP-1.0	3	22961583	22967221	1	Os03g0609200	2659	2669
Os03t0609500-01	IRGSP-1.0	3	22976955	22979863	-1	Os03g0609500	715	924
Os03t0609800-02	IRGSP-1.0	3	22990183	22996307	-1	Os03g0609800	964	98
Os03t0610400-01	IRGSP-1.0	3	23036335	23037381	-1	Os03g0610400	15	26
Os03t0610650-01	IRGSP-1.0	3	23048126	23050530	1	Os03g0610650	1488	204
Os03t0610700-01	IRGSP-1.0	3	23052712	23053499	1	Os03g0610700	1488	204
Os03t0610800-01	IRGSP-1.0	3	23054583	23068159	1	Os03g0610800	1488	204
Os03t0610900-01	IRGSP-1.0	3	23068746	23071156	-1	Os03g0610900	255	7
Os03t0611200-01	IRGSP-1.0	3	23086275	23090241	1	Os03g0611200	0	2514
Os03t0611700-01	IRGSP-1.0	3	23093191	23096386	-1	Os03g0611700	0	2361
Os03t0612201-00	IRGSP-1.0	3	23124295	23124942	-1	Os03g0612201	263	474
Os03t0612400-00	IRGSP-1.0	3	23124509	23128906	1	Os03g0612400	48	131
Os03t0612450-00	IRGSP-1.0	3	23127975	23128884	-1	Os03g0612450	0	0
Os03t0612600-01	IRGSP-1.0	3	23135535	23140171	-1	Os03g0612600	0	2006
Os03t0613100-01	IRGSP-1.0	3	23158022	23159127	-1	Os03g0613100	4575	1378
Os03t0614901-01	IRGSP-1.0	3	23221870	23223665	1	Os03g0614901	0	0
Os03t0615300-01	IRGSP-1.0	3	23280702	23285567	-1	Os03g0615300	4567	1153
Os03t0615700-01	IRGSP-1.0	3	23292599	23294363	-1	Os03g0615700	0	0
Os03t0616300-02	IRGSP-1.0	3	23335043	23338640	1	Os03g0616300	0	3988
Os03t0616400-02	IRGSP-1.0	3	23344516	23347308	1	Os03g0616400	495	266
Os03t0616450-00	IRGSP-1.0	3	23351502	23351813	1	Os03g0616450	0	0
Os03t0616500-00	IRGSP-1.0	3	23353421	23360735	-1	Os03g0616500	0	0
Os03t0616700-01	IRGSP-1.0	3	23369001	23376106	-1	Os03g0616700	3202	2126
Os03t0617500-01	IRGSP-1.0	3	23410223	23412753	-1	Os03g0617500	4576	308
Os03t0617900-01	IRGSP-1.0	3	23438159	23442295	-1	Os03g0617900	4577	2000
Os03t0618300-01	IRGSP-1.0	3	23450188	23452171	-1	Os03g0618300	4578	16
Os03t0618800-01	IRGSP-1.0	3	23465079	23466595	-1	Os03g0618800	0	0
Os03t0619151-00	IRGSP-1.0	3	23474911	23475779	-1	Os03g0619151	31	119
Os03t0619400-01	IRGSP-1.0	3	23485494	23490540	1	Os03g0619400	4579	732
Os03t0619501-00	IRGSP-1.0	3	23488675	23489604	-1	Os03g0619501	0	0
Os03t0619600-01	IRGSP-1.0	3	23491995	23496324	1	Os03g0619600	1765	233
Os03t0619700-01	IRGSP-1.0	3	23496337	23497397	1	Os03g0619700	0	0
Os03t0619800-00	IRGSP-1.0	3	23500021	23503488	1	Os03g0619800	1765	233
Os03t0619850-00	IRGSP-1.0	3	23508909	23510727	1	Os03g0619850	1765	233
