seqid	assembly	chromosome	start	end	strand	geneID
Os01t0721100-01	IRGSP-1.0	1	30062758	30066302	1	Os01g0721100
Os07t0510400-01	IRGSP-1.0	7	19454526	19456170	-1	Os07g0510400
Os07t0510400-02	IRGSP-1.0	7	19454526	19456123	-1	Os07g0510400
Os04t0661250-00	IRGSP-1.0	4	33735214	33736035	1	Os04g0661250
Os09t0529900-01	IRGSP-1.0	9	20750124	20751462	1	Os09g0529900
Os08t0533900-00	IRGSP-1.0	8	26640420	26647372	1	Os08g0533900
Os04t0615800-01	IRGSP-1.0	4	31247863	31249612	1	Os04g0615800
Os10t0533800-00	IRGSP-1.0	10	20764086	20766209	1	Os10g0533800
Os08t0528000-00	IRGSP-1.0	8	26287796	26291466	-1	Os08g0528000
Os04t0566500-02	IRGSP-1.0	4	28427825	28435980	-1	Os04g0566500
Os04t0566500-04	IRGSP-1.0	4	28426529	28435892	-1	Os04g0566500
Os04t0566500-01	IRGSP-1.0	4	28426536	28441619	-1	Os04g0566500
Os04t0566500-03	IRGSP-1.0	4	28426614	28435976	-1	Os04g0566500
Os05t0415800-01	IRGSP-1.0	5	20325340	20328408	1	Os05g0415800
Os11t0434800-01	IRGSP-1.0	11	14080896	14081399	-1	Os11g0434800
Os08t0109300-01	IRGSP-1.0	8	461655	464813	-1	Os08g0109300
Os01t0113200-01	IRGSP-1.0	1	720673	723317	-1	Os01g0113200
Os03t0135800-01	IRGSP-1.0	3	1990495	1995980	-1	Os03g0135800
Os03t0299800-02	IRGSP-1.0	3	10525760	10527995	-1	Os03g0299800
Os03t0299800-03	IRGSP-1.0	3	10526047	10531296	-1	Os03g0299800
Os03t0299800-01	IRGSP-1.0	3	10526047	10531373	-1	Os03g0299800
Os12t0586000-01	IRGSP-1.0	12	24456516	24459081	1	Os12g0586000
Os05t0235450-00	IRGSP-1.0	5	8296984	8297494	1	Os05g0235450
Os04t0584750-00	IRGSP-1.0	4	29535941	29536835	1	Os04g0584750
Os11t0216400-01	IRGSP-1.0	11	6088031	6091472	-1	Os11g0216400
Os02t0177500-01	IRGSP-1.0	2	4270620	4274199	-1	Os02g0177500
Os01t0124900-00	IRGSP-1.0	1	1369191	1374138	1	Os01g0124900
Os06t0206900-01	IRGSP-1.0	6	5409030	5409864	1	Os06g0206900
Os08t0323700-01	IRGSP-1.0	8	14186171	14195420	-1	Os08g0323700
Os04t0169500-01	IRGSP-1.0	4	4769960	4770679	-1	Os04g0169500
Os11t0206700-01	IRGSP-1.0	11	5378426	5383879	-1	Os11g0206700
Os11t0206700-02	IRGSP-1.0	11	5378625	5381784	-1	Os11g0206700
Os08t0517500-01	IRGSP-1.0	8	25683618	25686522	-1	Os08g0517500
Os06t0646801-01	IRGSP-1.0	6	26433253	26434294	-1	Os06g0646801
Os09t0131200-01	IRGSP-1.0	9	2385641	2386788	1	Os09g0131200
Os02t0796400-00	IRGSP-1.0	2	33857413	33859405	-1	Os02g0796400
Os10t0558850-00	IRGSP-1.0	10	21994497	21995273	-1	Os10g0558850
Os06t0539066-01	IRGSP-1.0	6	20230756	20232066	1	Os06g0539066
Os02t0658200-01	IRGSP-1.0	2	26616524	26617346	-1	Os02g0658200
Os02t0520800-01	IRGSP-1.0	2	18980950	18984192	-1	Os02g0520800
Os08t0502700-01	IRGSP-1.0	8	24828211	24830863	-1	Os08g0502700
Os08t0502700-03	IRGSP-1.0	8	24828163	24829966	-1	Os08g0502700
Os08t0402500-01	IRGSP-1.0	8	19206651	19207802	1	Os08g0402500
Os07t0160800-00	IRGSP-1.0	7	3258380	3261811	-1	Os07g0160800
Os05t0240200-02	IRGSP-1.0	5	8528874	8535188	-1	Os05g0240200
Os05t0240200-03	IRGSP-1.0	5	8526487	8535118	-1	Os05g0240200
Os05t0240200-01	IRGSP-1.0	5	8526412	8535211	-1	Os05g0240200
Os01t0105400-01	IRGSP-1.0	1	288372	292296	1	Os01g0105400
Os05t0534400-01	IRGSP-1.0	5	26535935	26537873	1	Os05g0534400
Os07t0173700-00	IRGSP-1.0	7	3883518	3885696	1	Os07g0173700
Os12t0569900-01	IRGSP-1.0	12	23458337	23460708	1	Os12g0569900
Os03t0821250-00	IRGSP-1.0	3	34464252	34465038	1	Os03g0821250
Os03t0347200-01	IRGSP-1.0	3	12976163	12988178	1	Os03g0347200
Os03t0347200-02	IRGSP-1.0	3	12985079	12988055	1	Os03g0347200
Os03t0347200-03	IRGSP-1.0	3	12985679	12988180	1	Os03g0347200
Os02t0293900-00	IRGSP-1.0	2	11183598	11184446	-1	Os02g0293900
Os11t0235700-00	IRGSP-1.0	11	7221675	7228567	1	Os11g0235700
Os01t0238850-00	IRGSP-1.0	1	7677950	7678911	1	Os01g0238850
Os01t0936000-00	IRGSP-1.0	1	41087786	41090680	1	Os01g0936000
Os06t0564700-01	IRGSP-1.0	6	21730402	21733637	-1	Os06g0564700
Os07t0132700-01	IRGSP-1.0	7	1717343	1718517	-1	Os07g0132700
Os07t0139300-01	IRGSP-1.0	7	2067244	2068234	-1	Os07g0139300
Os07t0692900-01	IRGSP-1.0	7	29478758	29483599	1	Os07g0692900
Os11t0276300-01	IRGSP-1.0	11	9815907	9820202	-1	Os11g0276300
Os03t0819900-01	IRGSP-1.0	3	34407093	34410374	1	Os03g0819900
Os06t0681400-01	IRGSP-1.0	6	28401740	28404496	1	Os06g0681400
Os03t0232050-00	IRGSP-1.0	3	6988082	6989556	1	Os03g0232050
Os03t0699200-01	IRGSP-1.0	3	28029406	28034964	1	Os03g0699200
Os01t0976300-01	IRGSP-1.0	1	43141847	43142667	1	Os01g0976300
Os01t0495200-00	IRGSP-1.0	1	16928574	16929545	1	Os01g0495200
Os07t0101200-01	IRGSP-1.0	7	72958	75621	1	Os07g0101200
Os10t0185100-01	IRGSP-1.0	10	5841201	5843444	1	Os10g0185100
Os04t0465000-01	IRGSP-1.0	4	23228941	23234936	1	Os04g0465000
Os04t0465000-02	IRGSP-1.0	4	23228944	23234915	1	Os04g0465000
Os03t0293900-01	IRGSP-1.0	3	10241251	10246038	-1	Os03g0293900
Os03t0747700-01	IRGSP-1.0	3	30755832	30757457	-1	Os03g0747700
Os12t0561900-01	IRGSP-1.0	12	23015929	23017657	-1	Os12g0561900
Os03t0368950-00	IRGSP-1.0	3	14469915	14470650	-1	Os03g0368950
Os02t0770300-01	IRGSP-1.0	2	32474113	32476128	-1	Os02g0770300
Os02t0111600-01	IRGSP-1.0	2	627685	630534	-1	Os02g0111600
Os10t0172000-00	IRGSP-1.0	10	4946821	4948377	-1	Os10g0172000
Os04t0399600-00	IRGSP-1.0	4	19760417	19771566	1	Os04g0399600
Os01t0220400-01	IRGSP-1.0	1	6587146	6587940	-1	Os01g0220400
Os06t0565900-01	IRGSP-1.0	6	21811138	21815337	1	Os06g0565900
Os11t0482200-01	IRGSP-1.0	11	16937493	16938495	-1	Os11g0482200
Os03t0799300-01	IRGSP-1.0	3	33320937	33321607	1	Os03g0799300
Os12t0615150-00	IRGSP-1.0	12	26088329	26090086	-1	Os12g0615150
Os09t0442300-01	IRGSP-1.0	9	16439142	16443578	1	Os09g0442300
Os01t0533400-01	IRGSP-1.0	1	19295569	19302138	-1	Os01g0533400
Os02t0132100-00	IRGSP-1.0	2	1669461	1671823	-1	Os02g0132100
Os10t0484700-01	IRGSP-1.0	10	18311854	18314316	-1	Os10g0484700
Os02t0761500-01	IRGSP-1.0	2	32069408	32070242	-1	Os02g0761500
Os11t0519500-00	IRGSP-1.0	11	18690522	18702124	-1	Os11g0519500
Os02t0745100-01	IRGSP-1.0	2	31266328	31269935	1	Os02g0745100
Os02t0813500-02	IRGSP-1.0	2	34837869	34842870	1	Os02g0813500
Os02t0813500-03	IRGSP-1.0	2	34842037	34843851	1	Os02g0813500
Os02t0813500-01	IRGSP-1.0	2	34837853	34843835	1	Os02g0813500
Os11t0264200-01	IRGSP-1.0	11	8965406	8970029	1	Os11g0264200
Os08t0246351-00	IRGSP-1.0	8	8939535	8940950	-1	Os08g0246351
Os05t0280700-01	IRGSP-1.0	5	11788697	11791865	-1	Os05g0280700
Os05t0280700-02	IRGSP-1.0	5	11788900	11791340	-1	Os05g0280700
Os03t0789600-01	IRGSP-1.0	3	32826350	32828545	-1	Os03g0789600
Os07t0203300-01	IRGSP-1.0	7	5552535	5557133	1	Os07g0203300
Os11t0202000-01	IRGSP-1.0	11	5153098	5156354	-1	Os11g0202000
Os11t0202000-02	IRGSP-1.0	11	5155359	5156354	-1	Os11g0202000
Os03t0697466-00	IRGSP-1.0	3	27955836	27956968	-1	Os03g0697466
Os11t0112800-01	IRGSP-1.0	11	592270	594666	1	Os11g0112800
Os07t0159600-00	IRGSP-1.0	7	3188806	3189565	1	Os07g0159600
Os10t0358700-02	IRGSP-1.0	10	10994739	10997383	-1	Os10g0358700
Os10t0358700-01	IRGSP-1.0	10	10991287	10997385	-1	Os10g0358700
Os10t0358700-03	IRGSP-1.0	10	10992893	10997360	-1	Os10g0358700
Os04t0220300-01	IRGSP-1.0	4	8009023	8018541	1	Os04g0220300
Os02t0190600-00	IRGSP-1.0	2	5028576	5030493	-1	Os02g0190600
Os07t0197300-00	IRGSP-1.0	7	5263397	5273423	-1	Os07g0197300
Os05t0545200-00	IRGSP-1.0	5	27057869	27062828	-1	Os05g0545200
Os03t0126900-01	IRGSP-1.0	3	1522404	1523048	-1	Os03g0126900
Os10t0323500-01	IRGSP-1.0	10	8920265	8926170	1	Os10g0323500
Os03t0843400-01	IRGSP-1.0	3	35444425	35446363	1	Os03g0843400
Os10t0145100-02	IRGSP-1.0	10	2740391	2741808	-1	Os10g0145100
Os10t0145100-01	IRGSP-1.0	10	2737043	2741865	-1	Os10g0145100
Os03t0642900-00	IRGSP-1.0	3	24768026	24782984	-1	Os03g0642900
Os11t0163800-01	IRGSP-1.0	11	3110576	3112429	1	Os11g0163800
Os04t0473150-00	IRGSP-1.0	4	23653624	23654065	1	Os04g0473150
Os01t0276800-05	IRGSP-1.0	1	9702737	9705021	-1	Os01g0276800
Os01t0276800-04	IRGSP-1.0	1	9702793	9705153	-1	Os01g0276800
Os01t0276800-02	IRGSP-1.0	1	9708349	9709615	-1	Os01g0276800
Os01t0276800-03	IRGSP-1.0	1	9704245	9708630	-1	Os01g0276800
Os01t0276800-01	IRGSP-1.0	1	9702793	9709686	-1	Os01g0276800
Os06t0595566-00	IRGSP-1.0	6	23432872	23435035	-1	Os06g0595566
Os03t0817200-01	IRGSP-1.0	3	34271361	34273067	1	Os03g0817200
Os01t0794600-01	IRGSP-1.0	1	33653500	33655173	1	Os01g0794600
Os03t0368351-00	IRGSP-1.0	3	14445595	14446076	-1	Os03g0368351
Os03t0639300-01	IRGSP-1.0	3	24544511	24549550	1	Os03g0639300
Os01t0141600-01	IRGSP-1.0	1	2245732	2250435	1	Os01g0141600
Os03t0704200-01	IRGSP-1.0	3	28308368	28312269	-1	Os03g0704200
Os11t0605600-00	IRGSP-1.0	11	23361134	23361916	-1	Os11g0605600
Os12t0416800-01	IRGSP-1.0	12	12864424	12866177	1	Os12g0416800
Os08t0235600-00	IRGSP-1.0	8	8230111	8235214	1	Os08g0235600
Os01t0645000-01	IRGSP-1.0	1	25959883	25961440	-1	Os01g0645000
Os06t0100700-00	IRGSP-1.0	6	42260	42548	-1	Os06g0100700
Os06t0183200-01	IRGSP-1.0	6	4142851	4150976	-1	Os06g0183200
Os04t0563950-00	IRGSP-1.0	4	28263055	28265494	1	Os04g0563950
Os05t0536400-01	IRGSP-1.0	5	26634885	26640861	-1	Os05g0536400
Os07t0216700-01	IRGSP-1.0	7	6432377	6433104	-1	Os07g0216700
Os02t0794000-01	IRGSP-1.0	2	33738687	33742250	-1	Os02g0794000
Os04t0661100-00	IRGSP-1.0	4	33733561	33734332	-1	Os04g0661100
Os01t0253500-01	IRGSP-1.0	1	8394453	8395607	1	Os01g0253500
Os03t0283000-00	IRGSP-1.0	3	9708208	9710092	-1	Os03g0283000
Os09t0413500-01	IRGSP-1.0	9	14691187	14693114	-1	Os09g0413500
Os05t0134700-02	IRGSP-1.0	5	2027813	2029998	1	Os05g0134700
Os05t0134700-01	IRGSP-1.0	5	2027782	2030021	1	Os05g0134700
Os04t0475250-00	IRGSP-1.0	4	23783964	23784823	1	Os04g0475250
Os05t0584300-01	IRGSP-1.0	5	29071206	29072229	1	Os05g0584300
Os08t0545900-00	IRGSP-1.0	8	27345271	27346904	-1	Os08g0545900
Os02t0710950-00	IRGSP-1.0	2	29452070	29457464	-1	Os02g0710950
Os07t0640600-00	IRGSP-1.0	7	26667948	26669931	1	Os07g0640600
Os11t0128600-00	IRGSP-1.0	11	1324619	1325077	1	Os11g0128600
Os05t0267766-00	IRGSP-1.0	5	10662362	10662940	-1	Os05g0267766
Os01t0374501-01	IRGSP-1.0	1	15440625	15441473	-1	Os01g0374501
Os02t0510600-01	IRGSP-1.0	2	18252570	18256034	1	Os02g0510600
Os02t0510600-02	IRGSP-1.0	2	18252672	18255976	1	Os02g0510600
Os05t0299300-01	IRGSP-1.0	5	13385142	13391031	-1	Os05g0299300
Os02t0595800-01	IRGSP-1.0	2	23116208	23120443	1	Os02g0595800
Os12t0291033-01	IRGSP-1.0	12	11260276	11260721	1	Os12g0291033
Os12t0147500-01	IRGSP-1.0	12	2318854	2321807	1	Os12g0147500
Os09t0488750-00	IRGSP-1.0	9	18851606	18852581	-1	Os09g0488750
Os05t0531800-00	IRGSP-1.0	5	26389270	26391009	-1	Os05g0531800
Os03t0667100-02	IRGSP-1.0	3	26259737	26267248	-1	Os03g0667100
Os03t0667100-01	IRGSP-1.0	3	26263666	26267256	-1	Os03g0667100
Os03t0667100-03	IRGSP-1.0	3	26261328	26265751	-1	Os03g0667100
Os05t0437900-01	IRGSP-1.0	5	21460347	21463248	-1	Os05g0437900
Os05t0437900-03	IRGSP-1.0	5	21460295	21461323	-1	Os05g0437900
Os01t0683800-00	IRGSP-1.0	1	28176779	28177535	-1	Os01g0683800
Os06t0700300-01	IRGSP-1.0	6	29446652	29447535	-1	Os06g0700300
Os02t0823100-01	IRGSP-1.0	2	35349673	35351221	1	Os02g0823100
Os04t0655000-00	IRGSP-1.0	4	33407358	33409844	1	Os04g0655000
Os06t0591400-01	IRGSP-1.0	6	23232535	23233439	1	Os06g0591400
Os01t0185500-00	IRGSP-1.0	1	4542331	4546541	1	Os01g0185500
Os01t0902800-00	IRGSP-1.0	1	39312496	39315691	1	Os01g0902800
Os06t0243801-00	IRGSP-1.0	6	7468681	7475604	-1	Os06g0243801
Os01t0185400-01	IRGSP-1.0	1	4536009	4540065	1	Os01g0185400
Os11t0473275-00	IRGSP-1.0	11	16320525	16324032	-1	Os11g0473275
Os04t0594700-00	IRGSP-1.0	4	30058620	30059561	-1	Os04g0594700
Os04t0581300-01	IRGSP-1.0	4	29350946	29354190	-1	Os04g0581300
Os01t0514450-00	IRGSP-1.0	1	18176968	18177876	1	Os01g0514450
Os08t0282400-01	IRGSP-1.0	8	11102726	11108224	1	Os08g0282400
Os02t0592700-02	IRGSP-1.0	2	22941314	22942234	1	Os02g0592700
Os02t0592700-01	IRGSP-1.0	2	22941281	22942945	1	Os02g0592700
Os04t0180400-01	IRGSP-1.0	4	5484865	5486703	1	Os04g0180400
Os12t0625000-01	IRGSP-1.0	12	26698650	26703087	-1	Os12g0625000
Os01t0130000-02	IRGSP-1.0	1	1673503	1675043	-1	Os01g0130000
Os01t0130000-01	IRGSP-1.0	1	1673607	1677066	-1	Os01g0130000
Os03t0147001-00	IRGSP-1.0	3	2613684	2615443	-1	Os03g0147001
Os06t0190700-00	IRGSP-1.0	6	4587987	4591068	-1	Os06g0190700
Os04t0162600-01	IRGSP-1.0	4	4309095	4310448	-1	Os04g0162600
Os06t0542701-00	IRGSP-1.0	6	20422820	20424059	-1	Os06g0542701
Os12t0453500-01	IRGSP-1.0	12	15639469	15640442	1	Os12g0453500
Os01t0742400-02	IRGSP-1.0	1	31006029	31009770	1	Os01g0742400
Os01t0742400-01	IRGSP-1.0	1	31006026	31008910	1	Os01g0742400
Os03t0857500-02	IRGSP-1.0	3	36184724	36185434	-1	Os03g0857500
Os03t0857500-01	IRGSP-1.0	3	36184687	36186335	-1	Os03g0857500
Os06t0658500-01	IRGSP-1.0	6	27068985	27074406	1	Os06g0658500
Os03t0290400-00	IRGSP-1.0	3	10088593	10089259	-1	Os03g0290400
Os04t0615550-00	IRGSP-1.0	4	31230645	31231968	-1	Os04g0615550
Os03t0130500-02	IRGSP-1.0	3	1720072	1720807	-1	Os03g0130500
Os03t0130500-01	IRGSP-1.0	3	1720158	1727907	-1	Os03g0130500
Os09t0353700-00	IRGSP-1.0	9	11308997	11310729	1	Os09g0353700
Os11t0703400-01	IRGSP-1.0	11	28786112	28788237	-1	Os11g0703400
Os11t0703400-02	IRGSP-1.0	11	28786133	28788214	-1	Os11g0703400
Os03t0161400-01	IRGSP-1.0	3	3310338	3312548	1	Os03g0161400
Os01t0533100-00	IRGSP-1.0	1	19275013	19282465	-1	Os01g0533100
Os08t0468100-03	IRGSP-1.0	8	23036533	23038585	1	Os08g0468100
Os08t0468100-02	IRGSP-1.0	8	23033973	23038463	1	Os08g0468100
Os08t0468100-01	IRGSP-1.0	8	23033230	23038506	1	Os08g0468100
Os09t0560600-01	IRGSP-1.0	9	22275274	22277863	1	Os09g0560600
Os10t0202900-00	IRGSP-1.0	10	7310471	7313575	-1	Os10g0202900
Os02t0153600-01	IRGSP-1.0	2	2957940	2960127	1	Os02g0153600
Os10t0580600-00	IRGSP-1.0	10	23185174	23186725	-1	Os10g0580600
Os04t0617050-01	IRGSP-1.0	4	31349656	31350385	-1	Os04g0617050
Os01t0140500-01	IRGSP-1.0	1	2137800	2138539	1	Os01g0140500
Os01t0649900-01	IRGSP-1.0	1	26222617	26225117	1	Os01g0649900
Os05t0392400-01	IRGSP-1.0	5	19097132	19099197	1	Os05g0392400
Os10t0155200-00	IRGSP-1.0	10	3464548	3464901	-1	Os10g0155200
Os06t0215533-00	IRGSP-1.0	6	5878825	5880319	1	Os06g0215533
Os07t0449100-01	IRGSP-1.0	7	15421991	15425210	-1	Os07g0449100
Os03t0699000-01	IRGSP-1.0	3	28021888	28022831	-1	Os03g0699000
Os08t0415400-00	IRGSP-1.0	8	19854315	19854635	-1	Os08g0415400
Os08t0479300-01	IRGSP-1.0	8	23648009	23651073	1	Os08g0479300
Os02t0822200-01	IRGSP-1.0	2	35293420	35296454	1	Os02g0822200
Os02t0822200-02	IRGSP-1.0	2	35293567	35296541	1	Os02g0822200
Os11t0579700-01	IRGSP-1.0	11	21883428	21888730	-1	Os11g0579700
Os02t0686800-01	IRGSP-1.0	2	28136347	28137459	-1	Os02g0686800
Os01t0555600-00	IRGSP-1.0	1	20950664	20951670	-1	Os01g0555600
Os02t0221900-03	IRGSP-1.0	2	6802726	6804607	-1	Os02g0221900
Os02t0221900-01	IRGSP-1.0	2	6802726	6805314	-1	Os02g0221900
Os02t0221900-02	IRGSP-1.0	2	6802706	6804635	-1	Os02g0221900
Os03t0439000-01	IRGSP-1.0	3	18538968	18539959	1	Os03g0439000
Os04t0507100-02	IRGSP-1.0	4	25340375	25341971	-1	Os04g0507100
Os04t0507100-01	IRGSP-1.0	4	25340377	25341989	-1	Os04g0507100
Os11t0481600-01	IRGSP-1.0	11	16897472	16899275	1	Os11g0481600
Os05t0481400-01	IRGSP-1.0	5	23662349	23666681	-1	Os05g0481400
Os12t0568200-01	IRGSP-1.0	12	23383189	23384177	-1	Os12g0568200
Os09t0558900-01	IRGSP-1.0	9	22212492	22218155	-1	Os09g0558900
Os09t0503400-02	IRGSP-1.0	9	19475692	19477125	1	Os09g0503400
Os09t0503400-01	IRGSP-1.0	9	19472475	19477139	1	Os09g0503400
Os07t0599100-00	IRGSP-1.0	7	24456130	24459917	-1	Os07g0599100
Os08t0191466-00	IRGSP-1.0	8	5361078	5362944	-1	Os08g0191466
Os05t0128000-00	IRGSP-1.0	5	1643484	1644746	1	Os05g0128000
Os04t0496600-01	IRGSP-1.0	4	24841362	24843684	-1	Os04g0496600
Os08t0112600-01	IRGSP-1.0	8	671625	674727	1	Os08g0112600
Os08t0327400-01	IRGSP-1.0	8	14414336	14418991	1	Os08g0327400
Os09t0124300-00	IRGSP-1.0	9	1859579	1878357	-1	Os09g0124300
Os10t0507500-00	IRGSP-1.0	10	19413262	19414196	1	Os10g0507500
Os01t0115300-01	IRGSP-1.0	1	808174	810139	-1	Os01g0115300
Os09t0338500-01	IRGSP-1.0	9	10338558	10340355	1	Os09g0338500
Os04t0421900-01	IRGSP-1.0	4	20862593	20872470	1	Os04g0421900
Os01t0376600-00	IRGSP-1.0	1	15562767	15563289	1	Os01g0376600
Os03t0113200-01	IRGSP-1.0	3	740409	743152	1	Os03g0113200
Os03t0658000-00	IRGSP-1.0	3	25690409	25695115	-1	Os03g0658000
Os11t0204600-01	IRGSP-1.0	11	5276417	5279896	1	Os11g0204600
Os01t0231000-03	IRGSP-1.0	1	7249868	7253703	1	Os01g0231000
Os01t0231000-01	IRGSP-1.0	1	7249771	7253688	1	Os01g0231000
Os01t0231000-02	IRGSP-1.0	1	7249821	7254629	1	Os01g0231000
Os05t0388025-00	IRGSP-1.0	5	18772849	18773587	1	Os05g0388025
Os04t0101300-00	IRGSP-1.0	4	89024	97611	1	Os04g0101300
Os07t0129300-00	IRGSP-1.0	7	1523654	1524512	1	Os07g0129300
Os09t0460700-01	IRGSP-1.0	9	17424564	17425622	1	Os09g0460700
Os11t0193300-00	IRGSP-1.0	11	4670707	4673201	-1	Os11g0193300
Os01t0361800-01	IRGSP-1.0	1	14744917	14747063	1	Os01g0361800
Os01t0361800-02	IRGSP-1.0	1	14744918	14748525	1	Os01g0361800
Os01t0242500-01	IRGSP-1.0	1	7857828	7860061	-1	Os01g0242500
Os01t0682001-01	IRGSP-1.0	1	28098847	28102930	-1	Os01g0682001
Os08t0163400-02	IRGSP-1.0	8	3732624	3736132	1	Os08g0163400
Os08t0163400-01	IRGSP-1.0	8	3732442	3736138	1	Os08g0163400
Os02t0282100-01	IRGSP-1.0	2	10509169	10512214	-1	Os02g0282100
Os03t0137750-00	IRGSP-1.0	3	2075564	2077454	1	Os03g0137750
Os02t0531600-01	IRGSP-1.0	2	19567046	19568968	-1	Os02g0531600
Os05t0564601-00	IRGSP-1.0	5	28107309	28107839	-1	Os05g0564601
Os09t0346700-02	IRGSP-1.0	9	10856548	10860403	-1	Os09g0346700
Os09t0346700-01	IRGSP-1.0	9	10856539	10862749	-1	Os09g0346700
Os10t0437500-01	IRGSP-1.0	10	15663637	15664570	1	Os10g0437500
Os05t0438201-00	IRGSP-1.0	5	21482321	21485134	1	Os05g0438201
Os07t0680500-01	IRGSP-1.0	7	28832616	28834725	-1	Os07g0680500
Os03t0379500-01	IRGSP-1.0	3	15005895	15008257	1	Os03g0379500
Os03t0400000-00	IRGSP-1.0	3	16218172	16221298	1	Os03g0400000
Os02t0814400-01	IRGSP-1.0	2	34901670	34903148	1	Os02g0814400
Os03t0711200-01	IRGSP-1.0	3	28690392	28695611	-1	Os03g0711200
Os09t0541900-01	IRGSP-1.0	9	21338841	21342208	-1	Os09g0541900
Os09t0541900-03	IRGSP-1.0	9	21338943	21340189	-1	Os09g0541900
Os09t0541900-02	IRGSP-1.0	9	21338806	21342170	-1	Os09g0541900
Os11t0323860-01	IRGSP-1.0	11	12226617	12227793	-1	Os11g0323860
Os08t0539600-01	IRGSP-1.0	8	26982655	26986691	1	Os08g0539600
Os09t0327500-00	IRGSP-1.0	9	9661773	9663035	-1	Os09g0327500
Os01t0373400-01	IRGSP-1.0	1	15389760	15392040	-1	Os01g0373400
Os04t0154000-00	IRGSP-1.0	4	3682118	3684160	1	Os04g0154000
Os07t0681400-01	IRGSP-1.0	7	28889240	28892030	1	Os07g0681400
Os01t0857900-01	IRGSP-1.0	1	37076493	37079538	1	Os01g0857900
Os05t0190300-03	IRGSP-1.0	5	5534529	5536108	-1	Os05g0190300
Os01t0924966-00	IRGSP-1.0	1	40526591	40527179	-1	Os01g0924966
Os03t0349600-03	IRGSP-1.0	3	13122682	13124453	-1	Os03g0349600
Os03t0349600-01	IRGSP-1.0	3	13122719	13124496	-1	Os03g0349600
Os04t0658800-01	IRGSP-1.0	4	33604376	33605201	-1	Os04g0658800
Os05t0102000-01	IRGSP-1.0	5	116433	118268	-1	Os05g0102000
Os10t0427900-01	IRGSP-1.0	10	15220811	15223120	-1	Os10g0427900
Os10t0427900-02	IRGSP-1.0	10	15220656	15222376	-1	Os10g0427900
Os03t0151000-00	IRGSP-1.0	3	2819265	2820118	-1	Os03g0151000
Os09t0522100-00	IRGSP-1.0	9	20399458	20400198	-1	Os09g0522100
Os07t0106900-01	IRGSP-1.0	7	383519	384235	1	Os07g0106900
Os03t0770851-00	IRGSP-1.0	3	31933503	31934229	1	Os03g0770851
Os04t0546800-01	IRGSP-1.0	4	27371324	27372855	-1	Os04g0546800
Os07t0642300-01	IRGSP-1.0	7	26731041	26733282	1	Os07g0642300
Os02t0472200-00	IRGSP-1.0	2	16066475	16067196	-1	Os02g0472200
Os12t0629700-01	IRGSP-1.0	12	26946904	26947698	-1	Os12g0629700
Os01t0554150-00	IRGSP-1.0	1	20870047	20870923	1	Os01g0554150
Os12t0407200-01	IRGSP-1.0	12	12312393	12314511	-1	Os12g0407200
Os01t0717000-01	IRGSP-1.0	1	29842914	29846824	-1	Os01g0717000
Os01t0717000-05	IRGSP-1.0	1	29842914	29843812	-1	Os01g0717000
Os01t0717000-02	IRGSP-1.0	1	29845155	29846824	-1	Os01g0717000
Os01t0901000-01	IRGSP-1.0	1	39222279	39226573	-1	Os01g0901000
Os01t0901000-02	IRGSP-1.0	1	39222268	39223536	-1	Os01g0901000
Os04t0548300-01	IRGSP-1.0	4	27457152	27460087	1	Os04g0548300
Os04t0548300-02	IRGSP-1.0	4	27458071	27459412	1	Os04g0548300
Os04t0536500-01	IRGSP-1.0	4	26804277	26806613	-1	Os04g0536500
Os03t0112900-00	IRGSP-1.0	3	726370	728004	-1	Os03g0112900
Os03t0692000-00	IRGSP-1.0	3	27678315	27681645	1	Os03g0692000
Os10t0505500-01	IRGSP-1.0	10	19330390	19330970	-1	Os10g0505500
Os09t0358500-00	IRGSP-1.0	9	11604046	11607329	1	Os09g0358500
Os09t0529300-01	IRGSP-1.0	9	20731589	20734724	-1	Os09g0529300
Os09t0529300-02	IRGSP-1.0	9	20731589	20734728	-1	Os09g0529300
Os12t0605100-01	IRGSP-1.0	12	25536142	25538883	-1	Os12g0605100
Os06t0169900-00	IRGSP-1.0	6	3507359	3509141	1	Os06g0169900
Os08t0538600-01	IRGSP-1.0	8	26918197	26921534	1	Os08g0538600
Os07t0131725-00	IRGSP-1.0	7	1669513	1671074	-1	Os07g0131725
Os02t0773732-01	IRGSP-1.0	2	32670804	32673918	-1	Os02g0773732
Os05t0355200-00	IRGSP-1.0	5	16845905	16847857	1	Os05g0355200
Os03t0734500-01	IRGSP-1.0	3	30082333	30082953	-1	Os03g0734500
Os03t0839800-01	IRGSP-1.0	3	35309856	35310752	-1	Os03g0839800
Os12t0477050-01	IRGSP-1.0	12	17364617	17367165	-1	Os12g0477050
Os02t0665200-01	IRGSP-1.0	2	27010437	27015186	1	Os02g0665200
Os02t0664100-00	IRGSP-1.0	2	26933477	26941903	1	Os02g0664100
Os12t0575300-01	IRGSP-1.0	12	23739977	23740564	-1	Os12g0575300
Os02t0276400-01	IRGSP-1.0	2	10152183	10155192	-1	Os02g0276400
Os01t0787101-00	IRGSP-1.0	1	33382772	33384150	1	Os01g0787101
Os12t0180900-01	IRGSP-1.0	12	4082386	4085396	1	Os12g0180900
Os01t0869450-00	IRGSP-1.0	1	37682625	37684068	1	Os01g0869450
